Categoria: Todas as categorias

Semana,influenza: (Viena)
2014-01-05,22
2014-01-12,26
2014-01-19,26
2014-01-26,79
2014-02-02,100
2014-02-09,49
2014-02-16,45
2014-02-23,59
2014-03-02,40
2014-03-09,68
2014-03-16,63
2014-03-23,40
2014-03-30,48
2014-04-06,34
2014-04-13,22
2014-04-20,19
2014-04-27,28
2014-05-04,20
2014-05-11,13
2014-05-18,37
2014-05-25,30
2014-06-01,15
2014-06-08,32
2014-06-15,16
2014-06-22,38
2014-06-29,30
2014-07-06,23
2014-07-13,16
2014-07-20,16
2014-07-27,24
2014-08-03,17
2014-08-10,27
2014-08-17,16
2014-08-24,15
2014-08-31,15
2014-09-07,14
2014-09-14,29
2014-09-21,22
2014-09-28,29
2014-10-05,19
2014-10-12,46
2014-10-19,46
2014-10-26,71
2014-11-02,54
2014-11-09,41
2014-11-16,23
2014-11-23,28
2014-11-30,36
2014-12-07,19
2014-12-14,28
2014-12-21,17
2014-12-28,21
